dataset,strategy,matcher,threshold,segment_id,gold_entities,pred_entities,gold_count,pred_count,matches,soft_precision,soft_recall,soft_f1,soft_jaccard,matched_pairs
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB001,"[""CivicAid Permit Triage"", ""council service requests"", ""planning questions"", ""permit evidence"", ""payment status"", ""human officer""]","[""incident response""]",6,1,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB002,"[""residents"", ""complaint"", ""permit query"", ""missing-document evidence""]","[""civicaid permit triage"", ""civicaid permit triage the"", ""long message containing"", ""often submit one"", ""often submit one long"", ""one long message""]",4,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB003,"[""request type"", ""required evidence"", ""deadline sensitivity"", ""status"", ""new decision""]","[""civicaid permit"", ""civicaid permit triage"", ""civicaid permit triage the"", ""classify each sentence"", ""evidence deadline sensitivity"", ""request type required""]",5,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB004,"[""assistant"", ""planning permission"", ""approval"", ""partial screenshot"", ""legal evidence""]","[""permission boundary""]",5,1,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB005,"[""pilot review"", ""archived requests"", ""routing errors"", ""missing attachments"", ""resident intent""]","[""archived request found"", ""civicaid permit triage"", ""civicaid permit triage a"", ""fifty archived request"", ""fifty archived request found"", ""most routing error""]",5,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB006,"[""blind annotation batch"", ""council-style messages"", ""route classifier"", ""manual triage spreadsheet""]","[""blind annotation batch"", ""civicaid permit triage"", ""civicaid permit triage next"", ""permit triage next"", ""permit triage next build"", ""triage next build""]",4,6,1,0.16666666666666666,0.25,0.2,0.1111111111111111,"[{""gold"": ""blind annotation batch"", ""pred"": ""blind annotation batch"", ""score"": 1.0}]"
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB007,"[""HarborFlow"", ""logistics exception tracker"", ""containers"", ""gate-out confirmation""]","[""container"", ""container exception"", ""container exception harborflow"", ""delayed inspected damaged"", ""harborflow container exception"", ""harborflow container exception harborflow""]",4,6,1,0.16666666666666666,0.25,0.2,0.1111111111111111,"[{""gold"": ""containers"", ""pred"": ""container"", ""score"": 1.0}]"
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB008,"[""port team"", ""email chains"", ""customs hold"", ""carrier delay""]","[""container exception"", ""currently handle exception"", ""currently handle exception through"", ""exception through email"", ""harborflow container exception"", ""harborflow container exception the""]",4,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB009,"[""exception"", ""cause"", ""accountable party"", ""last verified timestamp"", ""financial exposure"", ""operations lead""]","[""accountable party last"", ""container exception each"", ""container exception each exception"", ""exception each exception"", ""harborflow container exception"", ""harborflow container exception each""]",6,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB010,"[""refrigerated container"", ""temperature alarm"", ""inspection seal"", ""cold-chain risk"", ""compliance review""]","[""both cold-chain risk"", ""container exception"", ""harborflow container"", ""harborflow container exception"", ""harborflow container exception for"", ""missing inspection seal""]",5,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB011,"[""cargo value"", ""commodity notes"", ""verified shipment record""]","[""commodity note unles"", ""container exception"", ""harborflow container exception"", ""harborflow container exception the"", ""infer cargo value"", ""verified shipment record""]",3,6,1,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.125,"[{""gold"": ""verified shipment record"", ""pred"": ""verified shipment record"", ""score"": 1.0}]"
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB012,"[""exception"", ""dwell time"", ""forty-eight hours"", ""confirmed owner""]","[""any exception whose"", ""any exception whose dwell"", ""container exception"", ""container exception add"", ""harborflow container exception"", ""harborflow container exception add""]",4,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB013,"[""ClinicPulse"", ""backlog monitor"", ""appointment delays"", ""pathway"", ""urgency"", ""clinician dependency"", ""patient-contact status""]","[""backlog"", ""backlog monitor"", ""backlog monitor clinicpulse"", ""clinicpulse"", ""clinicpulse backlog monitor"", ""clinicpulse backlog monitor clinicpulse""]",7,6,2,0.3333333333333333,0.2857142857142857,0.30769230769230765,0.18181818181818182,"[{""gold"": ""ClinicPulse"", ""pred"": ""clinicpulse"", ""score"": 1.0}, {""gold"": ""backlog monitor"", ""pred"": ""backlog monitor"", ""score"": 1.0}]"
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB014,"[""clinic manager"", ""clinical review"", ""administrative booking"", ""patients""]","[""backlog monitor"", ""between patient waiting"", ""clearer difference between"", ""clearer difference between patient"", ""clinicpulse backlog monitor"", ""clinicpulse backlog monitor the""]",4,6,0,0.0,0.0,0.0,0.0,[]
out_domain_true_blind,hybrid_v2,M1_normalized_exact,1.0,TB015,"[""route map"", ""pathway name"", ""current wait age"", ""blocker type"", ""responsible role"", ""backlog note""]","[""age blocker type"", ""backlog monitor"", ""clinicpulse backlog"", ""clinicpulse backlog monitor"", ""clinicpulse backlog monitor the"", ""current wait age""]",6,6,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.09090909090909091,"[{""gold"": ""current wait age"", ""pred"": ""current wait age"", ""score"": 1.0}]"
